corruption,severity,ttt_mode,n_samples,accuracy,loss,delta_accuracy
clean,0,baseline,10000,0.8959,0.363254727935791,
clean,0,per_batch,10000,0.897,0.36297542457580567,0.0010999999999999899
clean,0,per_image,1000,0.897,0.3629223498255014,-0.0010000000000000009
gaussian_noise,1,baseline,10000,0.822,0.5722343239784241,
gaussian_noise,1,per_batch,10000,0.8322,0.5429047719955444,0.010200000000000098
gaussian_noise,1,per_image,1000,0.818,0.5877596531622111,-0.0040000000000000036
gaussian_noise,2,baseline,10000,0.7255,0.8478191408157348,
gaussian_noise,2,per_batch,10000,0.7565,0.7653411541938782,0.030999999999999917
gaussian_noise,2,per_image,1000,0.74,0.8588925608880817,-0.010000000000000009
gaussian_noise,3,baseline,10000,0.6143,1.18910539894104,
gaussian_noise,3,per_batch,10000,0.661,1.0430240018844605,0.046700000000000075
gaussian_noise,3,per_image,1000,0.645,1.1592642908617854,-0.05899999999999994
gaussian_noise,4,baseline,10000,0.5537,1.3887431316375733,
gaussian_noise,4,per_batch,10000,0.6045,1.218097504043579,0.05080000000000007
gaussian_noise,4,per_image,1000,0.554,1.4301469449140132,-0.07399999999999995
gaussian_noise,5,baseline,10000,0.4982,1.5709098495483398,
gaussian_noise,5,per_batch,10000,0.5528,1.3685603057861329,0.05459999999999998
gaussian_noise,5,per_image,1000,0.515,1.5789615257792176,-0.07499999999999996
shot_noise,1,baseline,10000,0.8589,0.4669357897281647,
shot_noise,1,per_batch,10000,0.8625,0.4559870426177979,0.0036000000000000476
shot_noise,1,per_image,1000,0.862,0.47260155101493,-0.0030000000000000027
shot_noise,2,baseline,10000,0.811,0.5911830890655517,
shot_noise,2,per_batch,10000,0.8239,0.5590589365959168,0.012899999999999912
shot_noise,2,per_image,1000,0.801,0.6311101400889456,-0.016999999999999904
shot_noise,3,baseline,10000,0.6958,0.9450756782531738,
shot_noise,3,per_batch,10000,0.725,0.8528014541625977,0.029200000000000004
shot_noise,3,per_image,1000,0.698,0.9904070740900933,-0.025000000000000022
shot_noise,4,baseline,10000,0.6359,1.1238312911987305,
shot_noise,4,per_batch,10000,0.6752,0.9928562671661377,0.0393
