corruption,severity,ttt_mode,n_samples,accuracy,loss,delta_accuracy
clean,0,baseline,10000,0.8959,0.363254727935791,
clean,0,per_batch,10000,0.896,0.36316243991851804,9.999999999998899e-05
clean,0,per_image,1000,0.898,0.35611067958176135,0.0010000000000000009
gaussian_noise,1,baseline,10000,0.8219,0.5722182333946229,
gaussian_noise,1,per_batch,10000,0.8244,0.5650757278442383,0.0025000000000000577
gaussian_noise,1,per_image,1000,0.825,0.5621349681541323,0.0
gaussian_noise,2,baseline,10000,0.7278,0.8442746658325195,
gaussian_noise,2,per_batch,10000,0.7338,0.8254767451286316,0.006000000000000005
gaussian_noise,2,per_image,1000,0.733,0.8555106753110886,-0.016000000000000014
gaussian_noise,3,baseline,10000,0.6163,1.186294613647461,
gaussian_noise,3,per_batch,10000,0.6269,1.1512940200805664,0.010600000000000054
gaussian_noise,3,per_image,1000,0.625,1.1597609318979085,-0.019000000000000017
gaussian_noise,4,baseline,10000,0.5556,1.3845873645782472,
gaussian_noise,4,per_batch,10000,0.5679,1.3448718894958496,0.012299999999999978
gaussian_noise,4,per_image,1000,0.561,1.4039592085145414,-0.013999999999999901
gaussian_noise,5,baseline,10000,0.4959,1.5793591045379638,
gaussian_noise,5,per_batch,10000,0.5077,1.5299275466918945,0.011800000000000033
gaussian_noise,5,per_image,1000,0.497,1.6054273765198885,-0.016000000000000014
shot_noise,1,baseline,10000,0.8583,0.4676325204849243,
shot_noise,1,per_batch,10000,0.8592,0.46505123472213744,0.0009000000000000119
shot_noise,1,per_image,1000,0.861,0.4649802641533315,0.0020000000000000018
shot_noise,2,baseline,10000,0.811,0.5912884604454041,
shot_noise,2,per_batch,10000,0.8144,0.5826286388397217,0.0033999999999999586
shot_noise,2,per_image,1000,0.824,0.5858510569557548,0.0
shot_noise,3,baseline,10000,0.6947,0.9489916473388672,
shot_noise,3,per_batch,10000,0.7019,0.9249533740997314,0.007199999999999984
shot_noise,3,per_image,1000,0.688,0.9930880196504295,-0.006000000000000005
shot_noise,4,baseline,10000,0.6371,1.1186484420776368,
shot_noise,4,per_batch,10000,0.6462,1.086876767730713,0.009099999999999997
shot_noise,4,per_image,1000,0.63,1.1391905322372913,-0.009000000000000008
shot_noise,5,baseline,10000,0.5466,1.4159875625610352,
shot_noise,5,per_batch,10000,0.5588,1.3729555822372437,0.012199999999999989
